iter	Passed	Remaining
401	20441	30408
402	20496	30363
403	20540	30302
404	20589	30248
405	20637	30193
406	20686	30139
407	20739	30092
408	20792	30045
409	20844	29995
410	20896	29946
411	20945	29893
412	20997	29843
413	21044	29787
414	21085	29722
415	21137	29674
416	21186	29620
417	21238	29570
418	21286	29517
419	21331	29457
420	21384	29409
421	21437	29362
422	21483	29304
423	21537	29258
424	21589	29209
425	21641	29159
426	21692	29109
427	21740	29055
428	21797	29012
429	21849	28962
430	21894	28905
431	21947	28856
432	21995	28801
433	22042	28746
434	22092	28695
435	22138	28638
436	22193	28592
437	22244	28541
438	22295	28492
439	22345	28439
440	22394	28386
441	22444	28334
442	22492	28281
443	22545	28232
444	22583	28166
445	22627	28106
446	22677	28055
447	22727	28003
448	22769	27942
449	22822	27894
450	22873	27844
451	22927	27797
452	22980	27748
453	23035	27703
454	23080	27645
455	23131	27595
456	23183	27545
457	23235	27497
458	23279	27438
459	23329	27386
460	23378	27334
461	23425	27279
462	23474	27226
463	23524	27175
464	23569	27117
465	23616	27063
466	23667	27012
467	23720	26964
468	23771	26913
469	23818	26859
470	23869	26809
471	23920	26758
472	23971	26708
473	24021	26657
474	24071	26605
475	24122	26554
476	24166	26497
477	24212	26441
478	24259	26387
479	24311	26337
480	24357	26282
481	24407	26230
482	24463	26185
483	24513	26134
484	24563	26082
485	24618	26036
486	24670	25987
487	24716	25932
488	24760	25874
489	24808	25820
490	24862	25773
491	24910	25721
492	24962	25671
493	25013	25621
494	25063	25569
495	25108	25513
496	25158	25462
497	25208	25410
498	25257	25358
499	25308	25308
500	25352	25251
501	25402	25200
502	25450	25146
503	25501	25096
504	25554	25048
505	25610	25003
506	25661	24953
507	25712	24902
508	25759	24848
509	25807	24795
510	25858	24744
511	25902	24687
512	25958	24642
513	26003	24586
514	26050	24532
515	26104	24485
516	26156	24436
517	26205	24384
518	26253	24331
519	26295	24272
520	26341	24218
521	26386	24162
522	26429	24105
523	26473	24048
524	26524	23998
525	26565	23939
526	26608	23882
527	26657	23829
528	26706	23777
529	26754	23725
530	26799	23670
531	26842	23613
532	26891	23561
533	26938	23507
534	26982	23452
535	27040	23408
536	27093	23359
537	27139	23305
538	27191	23256
539	27236	23201
540	27287	23151
541	27339	23102
542	27387	23049
543	27438	23000
544	27489	22949
545	27540	22900
546	27594	22852
547	27646	22803
548	27699	22754
549	27752	22706
550	27803	22656
551	27848	22602
552	27898	22551
553	27946	22498
554	27990	22442
555	28044	22394
556	28098	22347
557	28145	22294
558	28192	22241
559	28241	22190
560	28290	22138
561	28342	22089
562	28393	22039
563	28444	21988
564	28497	21940
565	28543	21886
566	28591	21834
567	28643	21785
568	28691	21733
569	28740	21681
570	28793	21632
571	28846	21584
572	28898	21534
573	28944	21481
574	28997	21432
575	29051	21385
576	29106	21337
577	29156	21287
578	29209	21238
579	29263	21190
580	29318	21143
581	29368	21093
582	29420	21043
583	29466	20989
584	29521	20942
585	29565	20887
586	29611	20834
587	29661	20783
588	29714	20734
589	29761	20681
590	29807	20628
591	29856	20576
592	29908	20527
593	29961	20478
594	30011	20428
595	30064	20379
596	30113	20327
597	30156	20272
598	30206	20221
